PG.ProteinGroups,PG.Genes,PG.ProteinNames,[1] CRBNKO_50-008_1.raw.PG.NrOfStrippedSequencesIdentified,[2] CRBNKO_50-008_2.raw.PG.NrOfStrippedSequencesIdentified,[3] CRBNKO_50-008_3.raw.PG.NrOfStrippedSequencesIdentified,[4] CRBNKO_DMSO_1.raw.PG.NrOfStrippedSequencesIdentified,[5] CRBNKO_DMSO_2.raw.PG.NrOfStrippedSequencesIdentified,[6] CRBNKO_DMSO_3.raw.PG.NrOfStrippedSequencesIdentified,[7] MAP3K1KO_50-008_1.raw.PG.NrOfStrippedSequencesIdentified,[8] MAP3K1KO_50-008_2.raw.PG.NrOfStrippedSequencesIdentified,[9] MAP3K1KO_50-008_3.raw.PG.NrOfStrippedSequencesIdentified,[10] MAPK1KO_DMSO_1.raw.PG.NrOfStrippedSequencesIdentified,[11] MAPK1KO_DMSO_2.raw.PG.NrOfStrippedSequencesIdentified,[12] MAPK1KO_DMSO_3.raw.PG.NrOfStrippedSequencesIdentified,[13] WT_50-008_1.raw.PG.NrOfStrippedSequencesIdentified,[14] WT_50-008_2.raw.PG.NrOfStrippedSequencesIdentified,[15] WT_50-008_3.raw.PG.NrOfStrippedSequencesIdentified,[16] WT_DMSO_1.raw.PG.NrOfStrippedSequencesIdentified,[17] WT_DMSO_2.raw.PG.NrOfStrippedSequencesIdentified,[18] WT_DMSO_3.raw.PG.NrOfStrippedSequencesIdentified,[1] CRBNKO_50-008_1.raw.PG.Quantity,[2] CRBNKO_50-008_2.raw.PG.Quantity,[3] CRBNKO_50-008_3.raw.PG.Quantity,[4] CRBNKO_DMSO_1.raw.PG.Quantity,[5] CRBNKO_DMSO_2.raw.PG.Quantity,[6] CRBNKO_DMSO_3.raw.PG.Quantity,[7] MAP3K1KO_50-008_1.raw.PG.Quantity,[8] MAP3K1KO_50-008_2.raw.PG.Quantity,[9] MAP3K1KO_50-008_3.raw.PG.Quantity,[10] MAPK1KO_DMSO_1.raw.PG.Quantity,[11] MAPK1KO_DMSO_2.raw.PG.Quantity,[12] MAPK1KO_DMSO_3.raw.PG.Quantity,[13] WT_50-008_1.raw.PG.Quantity,[14] WT_50-008_2.raw.PG.Quantity,[15] WT_50-008_3.raw.PG.Quantity,[16] WT_DMSO_1.raw.PG.Quantity,[17] WT_DMSO_2.raw.PG.Quantity,[18] WT_DMSO_3.raw.PG.Quantity
P61244,MAX,MAX_HUMAN,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,1577.0960693359375,1612.12939453125,1451.503662109375,1942.4342041015625,2422.414794921875,1376.7000732421875,1515.7060546875,1720.361083984375,1642.7283935546875,2949.537109375,2506.798583984375,2066.89453125,1666.2220458984375,1125.762451171875,1575.3446044921875,2005.88427734375,1486.4705810546875,1170.8670654296875
P61247,RPS3A,RS3A_HUMAN,20,19,19,20,19,18,19,17,18,20,18,18,20,20,19,20,20,20,137218.453125,137931.0625,189506.8125,160263.703125,206634.984375,148430.25,110995.4765625,119914.1796875,128776.53125,175386.21875,165978.546875,163021.65625,158038.109375,148689.90625,170421.90625,247770.96875,213770.5625,177155.53125
P61254,RPL26,RL26_HUMAN,8,7,8,7,7,7,7,7,7,7,8,7,8,7,7,8,7,7,62015.9609375,76386.46875,106150.7265625,84833.3359375,127264.6015625,96095.8828125,69538.40625,76020.0390625,90582.3046875,108421.890625,109835.8984375,102720.296875,118415.421875,113385.28125,131027.3984375,132399.171875,137284.8125,114640.328125
P61289,PSME3,PSME3_HUMAN,16,16,17,16,16,16,15,15,15,16,16,16,16,16,15,16,17,15,14269.9853515625,14367.1767578125,17825.083984375,16624.1015625,21556.115234375,14642.201171875,13833.4267578125,14875.3798828125,15992.2138671875,21760.6328125,19278.759765625,18235.095703125,16763.173828125,11906.861328125,16617.41796875,25043.890625,18457.041015625,15418.9970703125
P61313,RPL15,RL15_HUMAN,11,10,12,11,12,11,11,11,11,11,11,11,11,12,12,12,11,11,37066.63671875,59921.57421875,91295.71875,61187.58984375,114517.734375,85133.9296875,73998.640625,74600.78125,79455.34375,84484.8125,94967.6640625,94488.34375,106870.1875,92149.3515625,130096.5,123311.09375,127775.4296875,107612.140625
P61326,MAGOH,MGN_HUMAN,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,389.43402099609375,169.68853759765625,347.35675048828125,369.542724609375,362.2420654296875,134.0747833251953,673.8137817382812,390.5502624511719,632.2352294921875,407.89337158203125,449.0577087402344,428.2442626953125,930.7479248046875,419.59320068359375,524.0070190429688,761.7178955078125,615.4010009765625,671.981201171875
P61353,RPL27,RL27_HUMAN,8,9,8,9,9,9,8,8,8,9,9,9,8,9,9,8,9,9,80844.9453125,95102.515625,149319.3125,106106.8671875,179927.28125,126381.390625,114337.2578125,127393.8984375,138679.375,157853.53125,150773.171875,144574.421875,165370.078125,126887.3671875,163954.4375,197676.671875,189171.71875,149024.4375
P61421,ATP6V0D1,VA0D1_HUMAN,10,11,10,11,10,10,10,11,11,11,11,11,11,10,11,10,10,10,2753.169189453125,3668.823974609375,3351.08203125,2396.9970703125,3949.561767578125,2647.658447265625,6625.8310546875,7929.67041015625,7860.13330078125,3729.25390625,4246.56494140625,3345.989990234375,5046.70458984375,4159.388671875,4443.765625,3635.5048828125,3135.52490234375,2857.583740234375
P61457,PCBD1,PHS_HUMAN,4,4,4,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,15475.6435546875,15587.61328125,19054.705078125,14594.3408203125,21695.2890625,11431.822265625,9459.634765625,11567.7470703125,12325.513671875,18474.283203125,15912.8447265625,17182.75390625,11853.9501953125,13509.5771484375,17258.591796875,23200.451171875,22511.716796875,18224.5546875
P61513,RPL37A,RL37A_HUMAN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7275.57763671875,11336.97265625,18184.1328125,11804.2861328125,19422.50390625,16272.3818359375,13137.2724609375,17111.05078125,18022.5,17284.87109375,18520.203125,18207.185546875,18534.654296875,13222.9189453125,20716.94921875,20833.5625,22383.611328125,17410.1328125
P61586,RHOA,RHOA_HUMAN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11278.2314453125,12282.5439453125,14396.41015625,11662.1435546875,16033.1328125,9663.6689453125,9797.822265625,9285.0810546875,10414.833984375,21517.072265625,16298.314453125,16287.6708984375,11433.8642578125,7757.3134765625,9930.9375,24768.05078125,17057.669921875,14059.490234375
P61599,NAA20,NAA20_HUMAN,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,3397.96826171875,3574.23291015625,4434.31640625,3532.426513671875,4650.6298828125,2723.748046875,2252.203369140625,2420.07421875,2375.484130859375,4407.7333984375,3472.195068359375,3603.158447265625,3476.02197265625,2453.420654296875,4536.97998046875,5337.12890625,4896.3662109375,3963.18359375
P61604,HSPE1,CH10_HUMAN,13,15,15,13,16,14,17,16,16,17,16,16,18,16,17,15,15,15,131543.96875,218940.984375,258313.171875,116697.5546875,311665.25,183538.28125,458854.40625,736641.5,688912.125,305703.5,436490.375,410458.875,434348.03125,369595.21875,512307,198355.90625,221648.453125,168468.6875
P61619,SEC61A1,S61A1_HUMAN,10,9,9,9,9,10,10,9,10,10,10,9,9,10,10,10,10,9,4051.87353515625,5601.595703125,6080.48193359375,3848.280517578125,6948.4951171875,5246.90087890625,12300.6005859375,14738.6689453125,15321.232421875,5271.44677734375,6565.689453125,5793.56201171875,12305.4326171875,11675.8154296875,10629.6962890625,6022.251953125,5962.00439453125,5668.7119140625
P61758,VBP1,PFD3_HUMAN,13,13,13,13,12,12,12,12,12,13,11,13,13,13,13,13,13,13,13363.443359375,14088.587890625,18107.591796875,13936.994140625,19073.32421875,10946.0927734375,10206.109375,11284.5791015625,12362.134765625,17211.630859375,16084.8173828125,15769.11328125,12432.4443359375,10426.78125,14203.986328125,25211.501953125,20379.701171875,15667.107421875
P61764,STXBP1,STXB1_HUMAN,28,24,28,23,24,25,24,25,25,25,24,23,24,24,28,26,25,26,3638.163330078125,3964.29638671875,4660.57080078125,3709.489501953125,5168.4638671875,3278.145263671875,3178.27294921875,3238.4169921875,3779.62744140625,5355.65380859375,5010.533203125,4815.921875,3589.213623046875,2727.05615234375,3412.596435546875,5774.5400390625,4508.16845703125,3699.69091796875
P61769,B2M,B2MG_HUMAN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3852.54248046875,5067.2568359375,5612.30615234375,3659.977783203125,5324.98974609375,3980.875244140625,2734.772705078125,2276.35400390625,2687.040771484375,5372.99072265625,5842.23876953125,4541.716796875,4433.390625,3803.827392578125,4670.69970703125,5950.85498046875,4261.6943359375,3562.750244140625
P61803,DAD1,DAD1_HUMAN,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1856.191162109375,3374.386962890625,2683.57861328125,1671.4588623046875,3948.698486328125,2419.3232421875,6085.52978515625,5079.009765625,6663.55615234375,3109.311279296875,4180.12353515625,3573.51708984375,7358.96044921875,6281.66943359375,5892.13623046875,4081.030517578125,3130.812744140625,3574.798828125
P61916,NPC2,NPC2_HUMAN,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9823.80859375,11134.0283203125,13735.3515625,12092.9501953125,18816.625,11839.15234375,11176.951171875,11371.3095703125,12134.61328125,16611.640625,15788.068359375,14147.541015625,12821.2265625,9073.03125,12619.162109375,13875.486328125,10283.244140625,8579.5166015625
P61923,COPZ1,COPZ1_HUMAN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21470.841796875,21643.91796875,26099.30078125,18897.56640625,25283.88671875,16994.064453125,12041.7685546875,13197.42578125,13593.6806640625,19614.623046875,17735.814453125,19381.6953125,16676.69921875,13348.3759765625,16184.8203125,35657.9921875,28674.505859375,22738.37890625
P61927,RPL37,RL37_HUMAN,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,10.827510833740234,109.77049255371094,20.259756088256836,14.46799373626709,161.43751525878906,34.464141845703125,35.524261474609375,95.26124572753906,59.47804641723633,106.8809585571289,161.72894287109375,81.09690856933594,49.68172836303711,79.67413330078125,129.37652587890625,NaN,189.5892333984375,110.4428939819336
P61956,SUMO2,SUMO2_HUMAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57253.84765625,64936.79296875,77330.28125,68997.625,77550.234375,51410.38671875,44597.3828125,51744.34375,53248.21875,79799.625,75800.46875,71929.9765625,50743.296875,51116.02734375,55096.51171875,81708.125,64162.73046875,61588.65625
P61960,UFM1,UFM1_HUMAN,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10820.4501953125,11946.0048828125,15076.177734375,10372.4833984375,12983.2822265625,9312.58203125,8231.4541015625,9479.2158203125,10148.59765625,12215.5546875,10682.40234375,11310.6552734375,11419.513671875,9636.4150390625,10638.1689453125,14229.44140625,10727.044921875,8548.4970703125
P61962,DCAF7,DCAF7_HUMAN,16,16,16,16,16,15,15,16,16,16,16,16,16,15,16,16,16,16,10833.5625,11173.6943359375,13336.4658203125,11718.998046875,15511.6083984375,9826.06640625,7242.06884765625,8104.9228515625,8750.357421875,15521.8642578125,13685.97265625,13316.8037109375,7288.18505859375,6008.92431640625,7118.78125,13936.9814453125,11574.333984375,10378.0400390625
P61964,WDR5,WDR5_HUMAN,15,14,14,14,14,14,13,14,13,15,14,15,13,14,14,14,13,13,7699.65966796875,7507.4482421875,9489.8291015625,8681.0986328125,10452.568359375,7634.1591796875,7681.22216796875,8774.1005859375,8475.521484375,9760.1259765625,9138.9580078125,8704.48046875,8217.5478515625,6364.4404296875,8478.2958984375,10394.197265625,8166.94091796875,6970.35498046875
P61966,AP1S1,AP1S1_HUMAN,4,4,3,4,3,4,3,3,3,3,3,4,4,4,3,4,4,4,1049.1263427734375,1196.80322265625,1210.84912109375,1228.5321044921875,1623.2628173828125,1120.980224609375,535.5907592773438,643.5151977539062,827.2590942382812,1655.8349609375,1225.4940185546875,1237.4278564453125,1044.0323486328125,739.329345703125,1083.1494140625,1830.79833984375,1416.006591796875,1191.403564453125
P61970,NUTF2,NTF2_HUMAN,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5724.79443359375,6588.78857421875,8414.287109375,5368.64306640625,7851.3330078125,4820.8134765625,2854.84130859375,3063.397705078125,4403.52734375,5609.08251953125,6056.529296875,5116.29541015625,5127.92138671875,4165.0498046875,5249.53857421875,10267.1728515625,7438.37939453125,6122.71728515625
P61978,HNRNPK,HNRPK_HUMAN,29,28,29,29,30,28,29,28,28,30,29,30,29,26,27,30,30,29,341989.96875,323356.75,390666.3125,344439.5625,462069.90625,294988.9375,301971.75,324669.5625,337279.25,419193.6875,342064.71875,321066.15625,339627.90625,218425.015625,326503.28125,452215.46875,340362.1875,283817.90625
P61981,YWHAG,1433G_HUMAN,11,12,11,10,11,12,11,11,12,12,11,11,12,12,10,12,12,12,65461.29296875,71474.5625,85324.6796875,65773.015625,87041.8046875,54286.2265625,47901.73828125,55186.44921875,62910.359375,82581.75,67656.5703125,68295.34375,57835.0703125,46853.4765625,69579.375,115082.8515625,87445.3984375,69414.5546875
P62068,USP46,UBP46_HUMAN,4,6,4,7,4,6,6,6,6,6,4,7,7,5,4,5,7,6,341.2788391113281,817.7140502929688,875.22265625,706.264892578125,1048.8038330078125,578.8681030273438,529.8067016601562,644.6558837890625,647.2101440429688,878.5831298828125,721.0596923828125,615.7578735351562,665.0447998046875,385.3028869628906,623.8456420898438,695.6007080078125,828.0161743164062,591.6771850585938
P62070,RRAS2,RRAS2_HUMAN,12,13,12,12,13,12,13,12,13,13,13,13,13,13,13,13,11,12,14904.921875,15239.0625,17842.41796875,16286.185546875,20126.91015625,13812.2314453125,15274.9736328125,15570.7607421875,16018.560546875,23599.84375,20911.04296875,19259.8984375,18461.14453125,15422.9423828125,16558.78515625,19488.611328125,18793.9375,16132.32421875
P62072,TIMM10,TIM10_HUMAN,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,28.441627502441406,35.185726165771484,NaN,47.4809684753418,105.90812683105469,39.134376525878906,218.5247802734375,176.55674743652344,92.62687683105469,96.38460540771484,15.116488456726074,124.74365234375,97.80371856689453,65.80040740966797,36.033531188964844,33.47816848754883,NaN,11.779205322265625
P62079,TSPAN5,TSN5_HUMAN,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,2,2,239.0226593017578,200.48573303222656,255.96763610839844,243.12783813476562,451.0458068847656,330.32379150390625,403.9537048339844,360.6859130859375,567.587890625,606.1699829101562,639.1553955078125,477.41033935546875,593.8021850585938,230.32603454589844,367.3749694824219,540.3740844726562,336.34930419921875,149.8375244140625
P62081,RPS7,RS7_HUMAN,14,14,13,14,14,14,12,13,13,14,13,14,13,13,14,14,14,14,121666.9296875,124663.421875,158742.046875,123649.171875,182830.078125,120755.6796875,63350.16796875,59497.27734375,72205.0625,181277.609375,143694.921875,139628.375,115961.140625,113654.5078125,127717.8515625,224147.765625,210360.875,155574.171875
P62136,PPP1CA,PP1A_HUMAN,23,22,23,22,23,22,23,22,22,23,22,23,22,22,22,22,23,23,35269.62890625,37407.03125,43551.69921875,34111.60546875,48897.49609375,33760.8046875,31793.74609375,34825.39453125,37510.09375,47316.69140625,42009.66015625,40432.0859375,34226.41015625,30534.859375,37394.90625,51363.515625,44204.8125,33646.7578125
P62140,PPP1CB,PP1B_HUMAN,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9802.6328125,11241.7509765625,12733.6904296875,8930.525390625,13024.22265625,8825.07421875,7565.3828125,7546.32958984375,8664.4970703125,10995.1708984375,10672.8828125,10094.4716796875,8989.83984375,7279.046875,10065.2646484375,13552.6064453125,12446.8525390625,8637.5
P62166,NCS1,NCS1_HUMAN,8,9,9,8,9,8,7,9,8,9,9,9,8,9,9,8,9,9,1333.4105224609375,1366.2611083984375,1793.8134765625,1450.0733642578125,1884.7230224609375,1434.6943359375,1458.095458984375,1465.1219482421875,2124.217529296875,2178.060791015625,2269.030517578125,2063.414794921875,1334.4591064453125,1587.3287353515625,1615.8160400390625,2234.03076171875,2258.007080078125,1867.2513427734375
P62191,PSMC1,PRS4_HUMAN,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,47228.2578125,48420.75390625,57026.48828125,51253.75390625,69785.84375,43409.02734375,46449.890625,51743.48828125,54825.24609375,67440.28125,55916.38671875,55697.83984375,48233.19921875,34334.3828125,50963.109375,76475.203125,59695.453125,49935.63671875
P62195,PSMC5,PRS8_HUMAN,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,38670.27734375,38605,46439.3984375,40850.109375,55589.5859375,33521.07421875,36336.109375,40145.4921875,44975.32421875,52079.80078125,42054.0859375,41386.12890625,36298.0078125,28325.228515625,38158.12109375,60870.046875,46710.375,38145.85546875
P62241,RPS8,RS8_HUMAN,10,10,10,10,10,10,10,10,10,10,11,10,11,10,10,11,11,10,90431.6640625,111880.6484375,173377.109375,126987.6328125,198645.828125,154934.78125,114610.984375,117075.359375,125864.390625,170206.359375,175513.609375,167780.296875,168546.71875,141870.375,160364.953125,226236.84375,227662.9375,193642.390625
P62244,RPS15A,RS15A_HUMAN,8,8,8,9,8,8,8,8,8,8,8,8,9,8,8,9,9,8,73230.34375,88405.640625,108035.234375,94700.3515625,137372.5,98317.9921875,74879.8828125,86735.90625,95198.96875,134788.515625,107994.7890625,103687.28125,105443.046875,96396.484375,102206.796875,154525.203125,162098.59375,131548.421875
P62249,RPS16,RS16_HUMAN,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,140842.125,137297.3125,186302.1875,160151.015625,209698.0625,128999.8828125,93610.5234375,109878.484375,120162.65625,192181.0625,161282.5625,159673.1875,135094.390625,96844.6875,155813.953125,227447.203125,194301.359375,156663.609375
P62253,UBE2G1,UB2G1_HUMAN,7,7,7,5,6,7,6,5,6,6,5,5,6,6,6,6,7,7,2430.80126953125,2853.576416015625,3453.882568359375,2238.92138671875,3363.45751953125,1619.80615234375,1315.808349609375,1760.72265625,1980.44091796875,3211.02001953125,2651.9921875,3238.671630859375,1947.3067626953125,1593.9793701171875,1803.1337890625,3701.40625,2754.69677734375,1929.2562255859375
P62256,UBE2H,UBE2H_HUMAN,6,6,7,6,6,6,6,6,4,5,6,6,7,5,6,6,5,6,2578.27001953125,2638.194580078125,2965.322998046875,2155.7080078125,3051.897216796875,1806.56787109375,1249.413818359375,1378.916015625,1604.8839111328125,2293.439208984375,2198.170654296875,2260.7509765625,2323.60107421875,1499.64404296875,2395.115478515625,3634.91357421875,2855.299560546875,2105.24658203125
P62258,YWHAE,1433E_HUMAN,17,18,16,18,18,17,18,16,17,18,17,17,18,17,18,18,17,18,196408.625,199267.859375,249514.015625,207171.453125,266417.0625,171076.25,144311.65625,173442.859375,185088.90625,226706.78125,208786.53125,200601.84375,191287.71875,145891.96875,196070.984375,319815.6875,252620.609375,209834.5625
P62263,RPS14,RS14_HUMAN,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,88557.328125,97947.2578125,135410.890625,111283.3828125,146146.75,105144.96875,68879.109375,79576.296875,85599.8125,137206.671875,125720.828125,117449.734375,94365.9921875,84003.515625,104556.734375,179803.21875,147192.28125,124103.8515625
P62266,RPS23,RS23_HUMAN,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,5,6,6,28491.0546875,31021.830078125,49012.13671875,36527.109375,48525.89453125,35535.7109375,30335.12890625,30810.9921875,34547.83203125,43215.83984375,37012.828125,36966.5078125,37662.53125,41088.7109375,48897.8515625,59102.3515625,61754.9453125,48186.01171875
P62269,RPS18,RS18_HUMAN,11,11,11,11,11,11,11,11,12,12,11,11,12,12,12,12,12,11,174970.671875,172650.328125,218608.625,195162.53125,241637.84375,158138.265625,113369.3828125,131877.953125,142930.078125,237459.03125,201861.34375,191300.390625,176359.578125,143349.765625,185839.4375,275345.15625,233594,183676.4375
P62273,RPS29,RS29_HUMAN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18679.93359375,17229.611328125,11743.0654296875,9203.5146484375,15214.1162109375,7218.30419921875,8412.6787109375,9299.1318359375,12041.828125,18039.544921875,14458.333984375,18060.8046875,17229.783203125,8402.375,18614.310546875,27773.431640625,27546.71484375,17704.638671875
P62277,RPS13,RS13_HUMAN,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,98561.0390625,123842.953125,163433.140625,116751.2734375,184687.96875,119807.2265625,112211.6328125,130674.9609375,141995.0625,154707.671875,161466.28125,146046.6875,156029.75,121431.5390625,174862.78125,193523.03125,193750.21875,149870.21875
P62280,RPS11,RS11_HUMAN,11,12,12,12,12,11,12,12,12,11,12,11,12,12,12,12,12,12,69085.375,72894.4140625,104504.484375,87995.2265625,115739.7421875,88976.75,73483.4375,88381.4140625,90195.3515625,99588.3984375,92299.296875,90677.8203125,93776.921875,89576.421875,102028.46875,140121.34375,133113.15625,111850.9609375
P62304,SNRPE,RUXE_HUMAN,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,69655.171875,72312.265625,76618.640625,76084.796875,97139.0078125,67236.0546875,74525.7578125,81613.8125,82078.2578125,112697.2578125,97892.0078125,82623.0625,71897.015625,48625.1484375,76583.078125,100281.4765625,78378.6640625,65582.1328125
